"School Num","School Name","School Address","County Name","District Name","School Type"
110086,"Oluremi Tinubi Public School",,"Montserrado","Left Bank #1","HS"
110148,"Zannah Town Public School","Zannah Town","Montserrado","Todee","Public"
110163,"Nyehn #1 Public School","Nyehn","Montserrado","Todee","Public"
110217,"Blamasee Public School","Brewerville","Montserrado","Right Bank 1","Public"
110227,"Kpallah Public School","Brewerville","Montserrado","Right Bank 1","Public"
110228,"V.O.A -1 Academy","Brewerville","Montserrado","Right Bank 1","Public"
110230,"Sarah Barclay High School","Zaye Town","Montserrado","Right Bank 1","Public"
110235,"Banjor Central High  School","Banjor Lower Virginia","Montserrado","Right Bank 1","Public"
110287,"Morris' Farm Public School Am","Behind Coca Cola Factory","Montserrado","Paynesville","Public"
110359,"Kingsville Public School","Kingsville #7","Montserrado","Careysburg","Public"
110394,"Special Project High School","Stephen A. Tolbert","Montserrado","Left Bank 1","Public"
110402,"Barnesville Public School",,"Montserrado","Left Bank #1","HS"
110425,"Gray D. Allison High School","BTC UN Drive","Montserrado","Greater Monrovia 2","Public"
110440,"Elizabeth Tubman Memorial Institute","Upper Caldwell","Montserrado","Left Bank 2","Public"
110466,"E. Jonathan Goodridge High School","Barnersville","Montserrado","Left Bank 1","Public"
110598,"Kendeja Senior High School","Rehab Community","Montserrado","Greater Monrovia 1","Public"
110974,"William G. Kploeh  High School","New Georgia","Montserrado","Left Bank 1","Public"
111147,"PCS Night","Joe Bar","Montserrado","Paynesville","Public"
111167,"Soul Clinic Night School","Soul Clinic","Montserrado","Paynesville","Public"
111182,"Wein Town Public School","Wein Town","Montserrado","Paynesville","Public"
111211,"Madison Public School","Brewerville","Montserrado","Right Bank 1","Public"
111224,"Royesville Central School","Royeville","Montserrado","Right Bank 1","Public"
111252,"Liberia School for the Deaf","Mamgo Town","Montserrado","Right Bank 2","Public"
111613,"Evert Jonathan Memorial School Night","Bardnesville Estate","Montserrado","Left Bank 1","Public"
111810,"William Gabriel Kpoleh High Night","New Georgia Estate","Montserrado","Left Bank 1","Public"
111852,"Kendeja Night School","Rehab Community","Montserrado","Greater Monrovia 1","Public"
111943,"Morris' Farm Public School PM","Behind Coca Cola Factory","Montserrado","Paynesville","Public"
111991,"Sarah Barclay Night School",,"Montserrado","Left Bank #2","HS"
112124,"Wein Town Public School Night","Wein Town","Montserrado","Paynesville","Public"
120009,"Saywah Doe High School","Gbloulay","Nimba","Buu-yao","Public"
120042,"Zekeh Memorial High School","Zekepa Town","Nimba","Yarwin-Mensonoh","Public"
120056,"Buutuo Central High School","Buu-Tuo Town","Nimba","Buu-yao","Public"
,,,,,
120082,"Toweh Memorial High School","Toweh Town","Nimba","Tappita 2","Public"
120100,"J. W. Pearson High School","Ganta","Nimba","Bain-Garr","Public"
120121,"Tappeh Memorial High School",,"Nimba",,"HS"
120198,"Garplay Public School 2","Garplay","Nimba","Tuah River","Public"
120212,"Sanniquellie Central High School","Sanniquellie","Nimba","Sanniquelleh-Mah","Public"
120246,"Duo Elem/Jr High School","Duo Town","Nimba","Saclepea 2","Public"
120272,"Duoplay Semi-High School","Duoplay City","Nimba","Gbehlay-geh","Public"
120295,"Karn High School","Karnplay City","Nimba","Gbehlay-geh","Public"
120323,"Johnny Voker Extension School","Saclepea Refugee Camp","Nimba","Saclepea 1","Public"
120343,"Bahn High School","Bahn city","Nimba","Zoe-Geh","Public"
120426,"Youth Acadcemy","Ganta","Nimba","Bain-Garr","Public"
120465,"Karnplay Baptist Semi High School","Karnplay City","Nimba","Gbehlay-geh","Public"
120476,"Ganta Child Friendly Public School","Ganta","Nimba","Bain-Garr","Public"
120507,"karn High School Extenstion","Karnplay City","Nimba","Gbehlay-geh","Public"
120524,"Johnny Voker High School","Saclepea City","Nimba","Saclepea 1","Public"
120546,"Flumpa Public School","Flumpa","Nimba","Saclepea 2","Public"
120551,"William V. S. Tubman Elem/Jr High","Kpain Town","Nimba","Saclepea 2","Public"
120596,"Wrolay Public School","Wrolay","Nimba","Tappita 1","Public"
120673,"Sanniquellie central High School Ext.","Sanniquellie City","Nimba","Sanniquelleh-Mah","Public"
120749,"Sanninquellie Central High School","sanniquellie","Nimba","Sanniquelleh-Mah","Public"
130032,"Cestos High School","Cestos City","River Cess","Timbo","Public"
130057,"Yarpah Town Public School","Yarpah Town","River Cess","Central Rivercess 1","Public"
130104,"Gleozohn Public School","Gleozon Town","River Cess","Monweh","Public"
140027,"Tweh Jaiklay Public School","Fishtown","River Gee","Potupo","Public"
140040,"Webbo Elem. & Jr. High School",,"RiverGee","Not Available","HS"
140067,"Gbeapo Central High School","Kaweaken","River Gee","Gbaepo","Public"
150027,"Droah high school","Central kpanyan","Sinoe","Not Available","HS"
150046,"Samford Dennis high school","Trehn district","Sinoe","Trehn district","HS"
150079,"Juarzon Central High School","Bilibokree City","Sinoe","Juarzon","Public"
150084,"Nyarn Central (J. Milton Teahjay)","Unification","Sinoe","Tarjuwon","Public"
150161,"Sinoe Extension School","Greenville","Sinoe","Greenville","Public"
150163,"Seebah high school","Greenville","Sinoe","Not Available","HS"
150167,"Sinoe Multilateral High School","Greenville","Sinoe","Greenville","Public"
160005,"William V .S. Tubman High School","12th Street Sinkor","Montserrado","MCSS","Public"
160018,"D. Twe High School",,"Montserrado","Greater Monrovia","HS"
160022,"G. W. Gibson",,"Montserrado","Greater Monrovia","HS"
